line_code,active,station_code,station_name_en,station_name_th,latitude,longitude
red_west_south,False,RWS3,Bang Khun Non,บางขุนนนท์,,
red_west_south,False,RWS4,Siriraj,ศิริราช,,
dark_green,True,S1,Ratchadamri,ราชดำริ,13.73945684,100.5394348
dark_green,True,S10,Talat Phlu,ตลาดพลู,13.71422607,100.4768081
dark_green,True,S11,Wutthakat,วุฒากาศ,13.71307476,100.4689102
dark_green,True,S12,Bang Wa,บางหว้า,13.72052948,100.457791
dark_green,True,S2,Sala Daeng,ศาลาแดง,13.72845579,100.5340886
dark_green,True,S3,Chong Nonsi,ช่องนนทรี,13.7237111,100.5294617
dark_green,True,S4,Saint Louis,เซนต์หลุยส์,13.72092969,100.5268975
dark_green,True,S5,Surasak,สุรศักดิ์,13.71921117,100.5214964
dark_green,True,S6,Saphan Taksin,สะพานตากสิน,13.71881539,100.5141108
dark_green,True,S7,Krung Thon Buri,กรุงธนบุรี,13.72084312,100.5027149
dark_green,True,S8,Wongwian Yai,วงเวียนใหญ่,13.72108781,100.4953148
dark_green,True,S9,Pho Nimit,โพธิ์นิมิตร,13.71925298,100.4860682
dark_green,True,W1,National Stadium,สนามกีฬาแห่งชาติ,13.7467374,100.529049
yellow,True,YL01,Lat Phrao,ลาดพร้าว,,
yellow,True,YL02,Phawana,ภาวนา,,
yellow,True,YL03,Chok Chai 4,โชคชัย 4 ,,
yellow,True,YL04,Lat Phrao 71,ลาดพร้าว 71,,
yellow,True,YL05,Lat Phrao 83,ลาดพร้าว 83,,
yellow,True,YL06,Mahat Thai,มหาดไทย,,
yellow,True,YL07,Lat Phrao 101,ลาดพร้าว 101,,
yellow,True,YL08,Bang Kapi,บางกะปิ,,
yellow,True,YL09,Yaek Lam Sali,แยกลำสาลี,,
yellow,True,YL10,Si Kritha,ศรีกรีฑา,,
yellow,True,YL11,Hua Mak,หัวหมาก,,
yellow,True,YL12,Kalantan,กลันตัน,,
yellow,True,YL13,Si Nut,ศรีนุช,,
yellow,True,YL14,Srinagarindra 38,ศรีนครินทร์ 38,,
yellow,True,YL15,Suan Luang Rama IX,สวนหลวง ร.9,,
yellow,True,YL16,Si Udom,ศรีอุดม,,
yellow,True,YL17,Si Iam,ศรีเอี่ยม,,
yellow,True,YL18,Si La Salle,ศรีลาซาล,,
yellow,True,YL19,Si Bearing,ศรีแบริ่ง,,
yellow,True,YL20,Si Dan,ศรีด่าน,,
yellow,True,YL21,Si Thepha,ศรีเทพา,,
yellow,True,YL22,Thipphawan,ทิพวัล,,
yellow,True,YL23,Samrong,สำโรง,,
yellow,True,YLEX01,Criminal Court,ศาลอาญา,,
yellow,True,YLEX02,Phahon Yothin 24 ,พหลโยธิน 24,,
